template	name	requiredGcwRank	requiredFaction	pvpPlus	cost	declared	requiredClasses	classIDs	requiredLevel	uses	requiredSkill
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_boots.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_chest.iff		1	Imperial		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_gloves.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_helmet.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_leggings.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_utility_belt.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_boots.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_chest.iff		1	Imperial		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_gloves.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_helmet.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_leggings.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_stormtrooper_utility_belt.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/tangible/wearables/boots/boots_s22.iff	Imperial Boots	4	Imperial		2500	1					
object/tangible/wearables/jacket/jacket_s03.iff	Imperial Jacket	4	Imperial		2500	1					
object/tangible/wearables/pants/pants_s15.iff	Imperial Pants	4	Imperial		2500	1					
object/tangible/wearables/hat/hat_imp_s01.iff	Imperial Hat	4	Imperial		2500	1					
object/weapon/ranged/pistol/pistol_power5.iff	Power5 Pistol	4	Imperial		7500	1			72		
object/weapon/ranged/carbine/carbine_e11.iff	E-11 Carbine	4	Imperial		5500	1			48		
object/weapon/melee/sword/sword_01.iff	Sword	4	Imperial		2000	1			16		
object/weapon/ranged/heavy/heavy_rocket_launcher.iff	Rocket Launcher	4	Either		10000	1	1		56		
object/tangible/deed/faction_perk/minefield/mine_drx55.iff	DRX-55 Mine	5	Either		800	1					
object/tangible/deed/faction_perk/minefield/mine_sr88.iff	SR-88 Cryo-mine	5	Either		800	1					
object/tangible/deed/faction_perk/minefield/mine_xg.iff	XG Mine	5	Either		800	1					
object/tangible/deed/faction_perk/hq/hq_s01_rebel.iff	HQ: Forward Outpost	6	Rebel		35000	1					
object/tangible/deed/faction_perk/hq/hq_s02_rebel.iff	HQ: Field Hospital	6	Rebel		70000	1					
object/tangible/deed/faction_perk/hq/hq_s03_rebel.iff	HQ: Tactical Center	7	Rebel		125000	1					
object/tangible/deed/faction_perk/hq/hq_s04_rebel.iff	HQ: Detachment Headquarters	7	Rebel		240000	1					
object/tangible/deed/faction_perk/hq/hq_s01_rebel_pvp.iff	S.F. HQ: Forward Outpost	6	Rebel		50000	1					
object/tangible/deed/faction_perk/hq/hq_s02_rebel_pvp.iff	S.F. HQ: Field Hospital	6	Rebel		100000	1					
object/tangible/deed/faction_perk/hq/hq_s03_rebel_pvp.iff	S.F. HQ: Tactical Center	7	Rebel		155000	1					
object/tangible/deed/faction_perk/hq/hq_s04_rebel_pvp.iff	S.F. HQ: Detachment Headquarters	7	Rebel		300000	1					
object/draft_schematic/droid/droid_surgical.iff	Surgical Droid Schematic	1	Rebel		1100	0					
object/draft_schematic/item/theme_park/alderaan/act3/dead_eye_prototype.iff	Dead Eye Prototype	1	Rebel		1000	0				10	
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_boots.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_chest.iff		1	Rebel		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_gloves.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_helmet.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_assault_leggings.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_boots.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_chest.iff		1	Rebel		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_gloves.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_helmet.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_battle_leggings.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_boots.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_l.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_r.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_chest.iff		1	Rebel		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_gloves.iff		1	Rebel		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_helmet.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_rebel_marine_leggings.iff		1	Rebel		5000	0				10	class_munitions_phase3_master
object/weapon/ranged/carbine/carbine_laser.iff	Laser Carbine	4	Rebel		12500	1			80		
object/weapon/ranged/pistol/pistol_scout_blaster.iff	Scout Blaster	4	Rebel		2700	1			32		
object/weapon/melee/polearm/lance_staff_metal.iff	Metal Staff	4	Rebel		2000	1			24		
static:item_pvp_imperial_painting_03_01	Painting: Might of the Empire	5	Imperial		25000						
static:item_pvp_imperial_sergeant_major_medal_03_01	Nova Star Medal of the Empire	6	Imperial		16000						
static:item_pvp_lieutenant_comm_link_imperial_reward_04_01	Imperial Military Communication Link	7	Imperial		17000						
static:item_pvp_captain_battle_banner_imperial_reward_04_01	Imperial Battle Standard	8	Imperial		7500						
static:armor_pvp_spec_ops_imperial_black_leggings_05_01	Black Spec Ops Armor Leggings	9	Imperial		9000						
static:armor_pvp_spec_ops_imperial_black_belt_05_01	Black Spec Ops Armor Belt	9	Imperial		7500						
static:armor_pvp_spec_ops_imperial_black_boots_05_01	Black Spec Ops Armor Boots	9	Imperial		8000						
static:item_pvp_imperial_spec_ops_schematic_dye_kit_01_01	Technical Readout of a Imperial Spec Ops Armor Dye Kit	9	Imperial		2500						
static:armor_pvp_spec_ops_imperial_black_bicep_l_05_01	Black Spec Ops Armor Left Bicep	10	Imperial		8000						
static:armor_pvp_spec_ops_imperial_black_bicep_r_05_01	Black Spec Ops Armor Right Bicep	10	Imperial		8000						
static:armor_pvp_spec_ops_imperial_black_bracer_l_05_01	Black Spec Ops Armor Left Bracer	10	Imperial		8000						
static:armor_pvp_spec_ops_imperial_black_bracer_r_05_01	Black Spec Ops Armor Right Bracer	10	Imperial		8000						
static:armor_pvp_spec_ops_imperial_black_chest_plate_orange_pad_05_01	Black Spec Ops Armor Torso Orange Pauldron	10	Imperial		15000						
static:armor_pvp_spec_ops_imperial_black_gloves_05_01	Black Spec Ops Armor Gloves	10	Imperial		8000						
static:armor_pvp_spec_ops_imperial_black_helmet_05_01	Black Spec Ops Armor Helmet	10	Imperial		10000						
static:item_pvp_imperial_colonel_signet_ring_05_01	Colonel Signet Ring of the Empire	11	Imperial		19000						
static:item_deed_barc_imperial_06_01	Imperial BARC Deed	11	Imperial		140000						
static:weapon_carbine_pvp_imperial_general_reward_06_01	Exceptional Imperial E-11 Carbine	12	Imperial		22000						
static:weapon_carbine_pvp_general_reward_06_01	The Legendary Starlight Carbine	12	Rebel		20000						
static:weapon_pistol_pvp_general_reward_06_01	The Legendary Crimson Nova Pistol	12	Rebel		20000						
static:weapon_rifle_pvp_general_reward_06_01	The Legendary Vortex Rifle	12	Rebel		20000						
static:weapon_heavy_pvp_general_reward_06_01	The Legendary Reaper Cannon	12	Rebel		21000						
static:weapon_carbine_imperial_pvp_general_reward_06_01	The Legendary Starlight Carbine	12	Imperial		20000						
static:weapon_pistol_imperial_pvp_general_reward_06_01	The Legendary Crimson Nova Pistol	12	Imperial		20000						
static:weapon_rifle_imperial_pvp_general_reward_06_01	The Legendary Vortex Rifle	12	Imperial		20000						
static:weapon_heavy_imperial_pvp_general_reward_06_01	The Legendary Reaper Cannon	12	Imperial		21000						
static:item_color_crystal_02_20	Windu's Guile	12	Either		175000						
static:item_pvp_rebel_painting_03_01	Painting: We will never surrender	5	Rebel		25000						
static:item_gcw_mine_disarm_kit_03_01	Mine Disarm Kit	6	Either		4000	1	1,2,5,6				
static:item_pvp_rebel_sergeant_major_medal_03_01	Crimson Phoenix Medal of the Rebel Alliance	6	Rebel		16000						
static:item_pvp_lieutenant_comm_link_rebel_reward_04_01	Rebel Military Communication Link	7	Rebel		17000						
static:item_pvp_captain_battle_banner_rebel_reward_04_01	Rebel Battle Standard	8	Rebel		7500						
static:armor_pvp_spec_ops_rebel_black_grey_leggings_05_01	Grey Spec Ops Armor Leggings	9	Rebel		9000						
static:armor_pvp_spec_ops_rebel_black_grey_belt_05_01	Grey Spec Ops Armor Belt	9	Rebel		7500						
static:armor_pvp_spec_ops_rebel_black_grey_boots_05_01	Grey Spec Ops Armor Boots	9	Rebel		8000						
static:item_pvp_rebel_spec_ops_schematic_dye_kit_01_01	Technical Readout of a Rebel Spec Ops Armor Dye Kit	9	Rebel		2500						
static:armor_pvp_spec_ops_rebel_black_grey_bicep_l_05_01	Grey Spec Ops Armor Left Bicep	10	Rebel		8000						
static:armor_pvp_spec_ops_rebel_black_grey_bicep_r_05_01	Grey Spec Ops Armor Right Bicep	10	Rebel		8000						
static:armor_pvp_spec_ops_rebel_black_grey_bracer_l_05_01	Grey Spec Ops Armor Left Bracer	10	Rebel		8000						
static:armor_pvp_spec_ops_rebel_black_grey_bracer_r_05_01	Grey Spec Ops Armor Right Bracer	10	Rebel		8000						
static:armor_pvp_spec_ops_rebel_black_grey_gloves_05_01	Grey Spec Ops Armor Gloves	10	Rebel		8000						
static:armor_pvp_spec_ops_rebel_black_grey_helmet_05_01	Grey Spec Ops Armor Helmet	10	Rebel		10000						
static:armor_pvp_spec_ops_rebel_black_grey_chest_plate_05_01	Grey Spec Ops Armor Chest Plate	10	Rebel		15000						
static:item_pvp_rebel_colonel_signet_ring_05_01	Colonel Signet Ring of the Rebel Alliance	11	Rebel		19000						
static:item_deed_barc_rebel_06_01	Rebel BARC Deed	11	Rebel		140000						
static:weapon_pistol_pvp_rebel_general_reward_06_01	Exceptional Rebel DL 44 Pistol	12	Rebel		22000						
