roadmapTemplateName	roadmapSkillName	appearanceName	stringId	itemDefault	itemWookiee	itemIthorian	comment
smuggler_1a	class_smuggler_phase1_04						***Class Specific: Specialty Backpack
smuggler_1a	class_smuggler_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_smuggler_10_n	object/tangible/quest/quest_start/profession_smuggler_10.iff			Profession Quest Item
smuggler_1a	class_smuggler_phase1_master						
smuggler_1a	class_smuggler_phase2_novice				armor_wookiee_roadmap_chest_02_01,armor_wookiee_roadmap_leggings_02_01,armor_wookiee_roadmap_bicep_l_02_01,armor_wookiee_roadmap_bicep_r_02_01,armor_wookiee_roadmap_bracer_l_02_01,armor_wookiee_roadmap_bracer_r_02_01	armor_ithorian_roadmap_chest_02_01,armor_ithorian_roadmap_leggings_02_01,armor_ithorian_roadmap_helmet_02_01,armor_ithorian_roadmap_bicep_l_02_01,armor_ithorian_roadmap_bicep_r_02_01,armor_ithorian_roadmap_bracer_l_02_01,armor_ithorian_roadmap_bracer_r_02_01,armor_ithorian_roadmap_gloves_02_01,armor_ithorian_roadmap_boots_02_01	***Class Specific: Starting Armor Set
smuggler_1a	class_smuggler_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_smuggler_20_n	object/tangible/quest/quest_start/profession_smuggler_20.iff			Profession Quest Item
smuggler_1a	class_smuggler_phase2_03						***Class Specific: Level 30 weapon
smuggler_1a	class_smuggler_phase2_04						
smuggler_1a	class_smuggler_phase2_05						***Class Specific: Ring
smuggler_1a	class_smuggler_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_smuggler_30_n	object/tangible/quest/quest_start/profession_smuggler_30.iff			Profession Quest Item
smuggler_1a	class_smuggler_phase3_novice						
smuggler_1a	class_smuggler_phase3_02						***Class Specific: Level 50 weapon
smuggler_1a	class_smuggler_phase3_03						
smuggler_1a	class_smuggler_phase3_04						
smuggler_1a	class_smuggler_phase3_05						
smuggler_1a	class_smuggler_phase3_master						***Class Specific: Neck
smuggler_1a	class_smuggler_phase4_novice						
smuggler_1a	class_smuggler_phase4_02						
smuggler_1a	class_smuggler_phase4_03						***Class Specific: Long Re-use Clicky
smuggler_1a	class_smuggler_phase4_04						
smuggler_1a	class_smuggler_phase4_05						
smuggler_1a	class_smuggler_phase4_master						***Class Specific: Belt
officer_1a	class_officer_phase1_novice						
officer_1a	class_officer_phase1_02						
officer_1a	class_officer_phase1_03						
officer_1a	class_officer_phase1_04						***Class Specific: Specialty Backpack
officer_1a	class_officer_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_officer_10_n	object/tangible/quest/quest_start/profession_officer_10.iff			Profession Quest Item
officer_1a	class_officer_phase1_master						
officer_1a	class_officer_phase2_novice				armor_wookiee_roadmap_chest_02_02,armor_wookiee_roadmap_leggings_02_02,armor_wookiee_roadmap_bicep_l_02_02,armor_wookiee_roadmap_bicep_r_02_02,armor_wookiee_roadmap_bracer_l_02_02,armor_wookiee_roadmap_bracer_r_02_02	armor_ithorian_roadmap_chest_02_02,armor_ithorian_roadmap_leggings_02_02,armor_ithorian_roadmap_helmet_02_02,armor_ithorian_roadmap_bicep_l_02_02,armor_ithorian_roadmap_bicep_r_02_02,armor_ithorian_roadmap_bracer_l_02_02,armor_ithorian_roadmap_bracer_r_02_02,armor_ithorian_roadmap_gloves_02_02,armor_ithorian_roadmap_boots_02_02	***Class Specific: Starting Armor Set
officer_1a	class_officer_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_officer_20_n	object/tangible/quest/quest_start/profession_officer_20.iff			Profession Quest Item
officer_1a	class_officer_phase2_03						***Class Specific: Level 30 weapon
officer_1a	class_officer_phase2_04						
officer_1a	class_officer_phase2_05						***Class Specific: Ring
officer_1a	class_officer_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_officer_30_n	object/tangible/quest/quest_start/profession_officer_30.iff			Profession Quest Item
officer_1a	class_officer_phase3_novice						
officer_1a	class_officer_phase3_02						***Class Specific: Level 50 weapon
officer_1a	class_officer_phase3_03						
officer_1a	class_officer_phase3_04						
officer_1a	class_officer_phase3_05						
officer_1a	class_officer_phase3_master						***Class Specific: Neck
officer_1a	class_officer_phase4_novice						
officer_1a	class_officer_phase4_02						
officer_1a	class_officer_phase4_03						***Class Specific: Long Re-use Clicky
officer_1a	class_officer_phase4_04						
officer_1a	class_officer_phase4_05						
officer_1a	class_officer_phase4_master						***Class Specific: Belt
medic_1a	science_doctor_prereq_novice						
medic_1a	class_medic_phase1_novice						
medic_1a	class_medic_phase1_02						
medic_1a	class_medic_phase1_03						
medic_1a	class_medic_phase1_04						***Class Specific: Specialty Backpack
medic_1a	class_medic_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_medic_10_n	object/tangible/quest/quest_start/profession_medic_10.iff			Profession Quest Item
medic_1a	class_medic_phase1_master						
medic_1a	class_medic_phase2_novice				armor_wookiee_roadmap_chest_02_01,armor_wookiee_roadmap_leggings_02_01,armor_wookiee_roadmap_bicep_l_02_01,armor_wookiee_roadmap_bicep_r_02_01,armor_wookiee_roadmap_bracer_l_02_01,armor_wookiee_roadmap_bracer_r_02_01	armor_ithorian_roadmap_chest_02_01,armor_ithorian_roadmap_leggings_02_01,armor_ithorian_roadmap_helmet_02_01,armor_ithorian_roadmap_bicep_l_02_01,armor_ithorian_roadmap_bicep_r_02_01,armor_ithorian_roadmap_bracer_l_02_01,armor_ithorian_roadmap_bracer_r_02_01,armor_ithorian_roadmap_gloves_02_01,armor_ithorian_roadmap_boots_02_01	***Class Specific: Starting Armor Set
medic_1a	class_medic_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_medic_20_n	object/tangible/quest/quest_start/profession_medic_20.iff			Profession Quest Item
medic_1a	class_medic_phase2_03						***Class Specific: Level 30 weapon
medic_1a	class_medic_phase2_04						
medic_1a	class_medic_phase2_05						***Class Specific: Ring
medic_1a	class_medic_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_medic_30_n	object/tangible/quest/quest_start/profession_medic_30.iff			Profession Quest Item
medic_1a	class_medic_phase3_novice						
medic_1a	class_medic_phase3_02						***Class Specific: Level 50 weapon
medic_1a	class_medic_phase3_03						
medic_1a	class_medic_phase3_04						
medic_1a	class_medic_phase3_05						
medic_1a	class_medic_phase3_master						***Class Specific: Neck
medic_1a	class_medic_phase4_novice						
medic_1a	class_medic_phase4_02						
medic_1a	class_medic_phase4_03						***Class Specific: Long Re-use Clicky
medic_1a	class_medic_phase4_04						
medic_1a	class_medic_phase4_05						
medic_1a	class_medic_phase4_master						***Class Specific: Belt
spy_1a	class_spy_phase1_novice						
spy_1a	class_spy_phase1_02						
spy_1a	class_spy_phase1_03						
spy_1a	class_spy_phase1_04						***Class Specific: Specialty Backpack
spy_1a	class_spy_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_spy_10_n	object/tangible/quest/quest_start/profession_spy_10.iff			Profession Quest Item
spy_1a	class_spy_phase1_master						
spy_1a	class_spy_phase2_novice				armor_wookiee_roadmap_chest_02_02,armor_wookiee_roadmap_leggings_02_02,armor_wookiee_roadmap_bicep_l_02_02,armor_wookiee_roadmap_bicep_r_02_02,armor_wookiee_roadmap_bracer_l_02_02,armor_wookiee_roadmap_bracer_r_02_02	armor_ithorian_roadmap_chest_02_02,armor_ithorian_roadmap_leggings_02_02,armor_ithorian_roadmap_helmet_02_02,armor_ithorian_roadmap_bicep_l_02_02,armor_ithorian_roadmap_bicep_r_02_02,armor_ithorian_roadmap_bracer_l_02_02,armor_ithorian_roadmap_bracer_r_02_02,armor_ithorian_roadmap_gloves_02_02,armor_ithorian_roadmap_boots_02_02	***Class Specific: Starting Armor Set
spy_1a	class_spy_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_spy_20_n	object/tangible/quest/quest_start/profession_spy_20.iff			Profession Quest Item
spy_1a	class_spy_phase2_03						***Class Specific: Level 30 weapon
spy_1a	class_spy_phase2_04						
spy_1a	class_spy_phase2_05						***Class Specific: Ring
spy_1a	class_spy_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_spy_30_n	object/tangible/quest/quest_start/profession_spy_30.iff			Profession Quest Item
spy_1a	class_spy_phase3_novice						
spy_1a	class_spy_phase3_02						***Class Specific: Level 50 weapon
spy_1a	class_spy_phase3_03						
spy_1a	class_spy_phase3_04						
spy_1a	class_spy_phase3_05						
spy_1a	class_spy_phase3_master						***Class Specific: Neck
spy_1a	class_spy_phase4_novice						
spy_1a	class_spy_phase4_02						
spy_1a	class_spy_phase4_03						***Class Specific: Long Re-use Clicky
spy_1a	class_spy_phase4_04						
spy_1a	class_spy_phase4_05						
spy_1a	class_spy_phase4_master						***Class Specific: Belt
entertainer_1a	class_entertainer_phase1						
entertainer_1a	class_entertainer_phase1_novice						
entertainer_1a	class_entertainer_phase1_02						
entertainer_1a	class_entertainer_phase1_03						
entertainer_1a	class_entertainer_phase1_04						***Class Specific: Specialty Backpack
entertainer_1a	class_entertainer_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_entertainer_10_n	object/tangible/quest/quest_start/profession_entertainer_10.iff			Profession Quest Item
entertainer_1a	class_entertainer_phase1_master						
entertainer_1a	class_entertainer_phase2_novice				item_entertainer_roadmap_robe_02_01,item_entertainer_roadmap_gloves_02_02,weapon_knuckler_ent_roadmap_02_02	item_entertainer_roadmap_jumpsuit_02_01,item_entertainer_roadmap_hat_02_01,weapon_knuckler_ent_roadmap_02_02	***Class Specific: Starting Armor Set
entertainer_1a	class_entertainer_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_entertainer_20_n	object/tangible/quest/quest_start/profession_entertainer_20.iff			Profession Quest Item
entertainer_1a	class_entertainer_phase2_03						***Class Specific: Level 30 weapon
entertainer_1a	class_entertainer_phase2_04						
entertainer_1a	class_entertainer_phase2_05						***Class Specific: Ring
entertainer_1a	class_entertainer_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_entertainer_30_n	object/tangible/quest/quest_start/profession_entertainer_30.iff			Profession Quest Item
entertainer_1a	class_entertainer_phase3_novice						
entertainer_1a	class_entertainer_phase3_02						***Class Specific: Level 50 weapon
entertainer_1a	class_entertainer_phase3_03						
entertainer_1a	class_entertainer_phase3_04						
entertainer_1a	class_entertainer_phase3_05						
entertainer_1a	class_entertainer_phase3_master						***Class Specific: Neck
entertainer_1a	class_entertainer_phase4_novice						
entertainer_1a	class_entertainer_phase4_02						
entertainer_1a	class_entertainer_phase4_03						***Class Specific: Long Re-use Clicky
entertainer_1a	class_entertainer_phase4_04						
entertainer_1a	class_entertainer_phase4_05						
entertainer_1a	class_entertainer_phase4_master						***Class Specific: Belt
trader_0a	class_domestics_phase1_novice		@ui_roadmap:tuned_crafting_tool	item_npe_gen_craft_tool_trader_03_01			
trader_0a	class_domestics_phase1_02						
trader_0a	class_domestics_phase1_03						
trader_0a	class_domestics_phase1_04	appearance/backpack_s04_m.sat	@ui_roadmap:trader_backpack	item_trader_backpack_01_02			***Class Specific: Specialty Backpack
trader_0a	class_domestics_phase1_05						
trader_0a	class_domestics_phase1_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_10_n	object/tangible/quest/quest_start/profession_trader_10.iff			Profession Quest Item
trader_0a	class_domestics_phase2_novice						
trader_0a	class_domestics_phase2_02						
trader_0a	class_domestics_phase2_03				item_trader_roadmap_shoulder_pad_02_01,item_trader_roadmap_gloves_02_02	item_trader_roadmap_jumpsuit_02_02,item_trader_roadmap_hat_02_01	***Class Specific: Starting Armor Set
trader_0a	class_domestics_phase2_04						
trader_0a	class_domestics_phase2_05						
trader_0a	class_domestics_phase2_master						***Class Specific: Level 30 weapon
trader_0a	class_domestics_phase3_novice	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_20_n	object/tangible/quest/quest_start/profession_trader_20.iff			Profession Quest Item
trader_0a	class_domestics_phase3_02						
trader_0a	class_domestics_phase3_03						***Class Specific: Ring
trader_0a	class_domestics_phase3_04						
trader_0a	class_domestics_phase3_05						***Class Specific: Level 50 weapon
trader_0a	class_domestics_phase3_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_30_n	object/tangible/quest/quest_start/profession_trader_30.iff			Profession Quest Item
trader_0a	class_domestics_phase4_novice						
trader_0a	class_domestics_phase4_02						***Class Specific: Neck
trader_0a	class_domestics_phase4_03						
trader_0a	class_domestics_phase4_04						***Class Specific: Long Re-use Clicky
trader_0a	class_domestics_phase4_05						
trader_0a	class_domestics_phase4_master						***Class Specific: Belt
trader_0b	class_structures_phase1_novice		@ui_roadmap:tuned_crafting_tool	item_npe_gen_craft_tool_trader_03_01			
trader_0b	class_structures_phase1_02						
trader_0b	class_structures_phase1_03						
trader_0b	class_structures_phase1_04	appearance/backpack_s04_m.sat	@ui_roadmap:trader_backpack	item_trader_backpack_01_02			***Class Specific: Specialty Backpack
trader_0b	class_structures_phase1_05						
trader_0b	class_structures_phase1_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_10_n	object/tangible/quest/quest_start/profession_trader_10.iff			Profession Quest Item
trader_0b	class_structures_phase2_novice						
trader_0b	class_structures_phase2_02						
trader_0b	class_structures_phase2_03				item_trader_roadmap_shoulder_pad_02_01,item_trader_roadmap_gloves_02_02	item_trader_roadmap_jumpsuit_02_02,item_trader_roadmap_hat_02_01	***Class Specific: Starting Armor Set
trader_0b	class_structures_phase2_04						
trader_0b	class_structures_phase2_05						
trader_0b	class_structures_phase2_master						***Class Specific: Level 30 weapon
trader_0b	class_structures_phase3_novice	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_20_n	object/tangible/quest/quest_start/profession_trader_20.iff			Profession Quest Item
trader_0b	class_structures_phase3_02						
trader_0b	class_structures_phase3_03						***Class Specific: Ring
trader_0b	class_structures_phase3_04						
trader_0b	class_structures_phase3_05						***Class Specific: Level 50 weapon
trader_0b	class_structures_phase3_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_30_n	object/tangible/quest/quest_start/profession_trader_30.iff			Profession Quest Item
trader_0b	class_structures_phase4_novice						
trader_0b	class_structures_phase4_02						***Class Specific: Neck
trader_0b	class_structures_phase4_03						
trader_0b	class_structures_phase4_04						***Class Specific: Long Re-use Clicky
trader_0b	class_structures_phase4_05						
trader_0b	class_structures_phase4_master						***Class Specific: Belt
trader_0c	class_munitions_phase1_novice		@ui_roadmap:tuned_crafting_tool	item_npe_gen_craft_tool_trader_03_01			
trader_0c	class_munitions_phase1_02						
trader_0c	class_munitions_phase1_03						
trader_0c	class_munitions_phase1_04	appearance/backpack_s04_m.sat	@ui_roadmap:trader_backpack	item_trader_backpack_01_02			***Class Specific: Specialty Backpack
trader_0c	class_munitions_phase1_05						
trader_0c	class_munitions_phase1_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_10_n	object/tangible/quest/quest_start/profession_trader_10.iff			Profession Quest Item
trader_0c	class_munitions_phase2_novice						
trader_0c	class_munitions_phase2_02						
trader_0c	class_munitions_phase2_03				item_trader_roadmap_shoulder_pad_02_01,item_trader_roadmap_gloves_02_02	item_trader_roadmap_jumpsuit_02_02,item_trader_roadmap_hat_02_01	***Class Specific: Starting Armor Set
trader_0c	class_munitions_phase2_04						
trader_0c	class_munitions_phase2_05						
trader_0c	class_munitions_phase2_master						***Class Specific: Level 30 weapon
trader_0c	class_munitions_phase3_novice	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_20_n	object/tangible/quest/quest_start/profession_trader_20.iff			Profession Quest Item
trader_0c	class_munitions_phase3_02						
trader_0c	class_munitions_phase3_03						***Class Specific: Ring
trader_0c	class_munitions_phase3_04						
trader_0c	class_munitions_phase3_05						***Class Specific: Level 50 weapon
trader_0c	class_munitions_phase3_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_30_n	object/tangible/quest/quest_start/profession_trader_30.iff			Profession Quest Item
trader_0c	class_munitions_phase4_novice						
trader_0c	class_munitions_phase4_02						***Class Specific: Neck
trader_0c	class_munitions_phase4_03						
trader_0c	class_munitions_phase4_04						***Class Specific: Long Re-use Clicky
trader_0c	class_munitions_phase4_05						
trader_0c	class_munitions_phase4_master						***Class Specific: Belt
trader_0d	class_engineering_phase1_novice		@ui_roadmap:tuned_crafting_tool	item_npe_gen_craft_tool_trader_03_01			
trader_0d	class_engineering_phase1_02						
trader_0d	class_engineering_phase1_03						
trader_0d	class_engineering_phase1_04	appearance/backpack_s04_m.sat	@ui_roadmap:trader_backpack	item_trader_backpack_01_02			***Class Specific: Specialty Backpack
trader_0d	class_engineering_phase1_05						
trader_0d	class_engineering_phase1_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_10_n	object/tangible/quest/quest_start/profession_trader_10.iff			Profession Quest Item
trader_0d	class_engineering_phase2_novice						
trader_0d	class_engineering_phase2_02						
trader_0d	class_engineering_phase2_03				item_trader_roadmap_shoulder_pad_02_01,item_trader_roadmap_gloves_02_02	item_trader_roadmap_jumpsuit_02_02,item_trader_roadmap_hat_02_01	***Class Specific: Starting Armor Set
trader_0d	class_engineering_phase2_04						
trader_0d	class_engineering_phase2_05						
trader_0d	class_engineering_phase2_master						***Class Specific: Level 30 weapon
trader_0d	class_engineering_phase3_novice	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_20_n	object/tangible/quest/quest_start/profession_trader_20.iff			Profession Quest Item
trader_0d	class_engineering_phase3_02						
trader_0d	class_engineering_phase3_03						***Class Specific: Ring
trader_0d	class_engineering_phase3_04						
trader_0d	class_engineering_phase3_05						***Class Specific: Level 50 weapon
trader_0d	class_engineering_phase3_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_trader_30_n	object/tangible/quest/quest_start/profession_trader_30.iff			Profession Quest Item
trader_0d	class_engineering_phase4_novice						
trader_0d	class_engineering_phase4_02						***Class Specific: Neck
trader_0d	class_engineering_phase4_03						
trader_0d	class_engineering_phase4_04						***Class Specific: Long Re-use Clicky
trader_0d	class_engineering_phase4_05						
trader_0d	class_engineering_phase4_master						***Class Specific: Belt
chronicles	class_chronicles_novice	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_starter_kit	item_pgc_starter_kit			
chronicles	class_chronicles_2	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_booster_pack	item_pgc_booster_pack			
chronicles	class_chronicles_4	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_booster_pack	item_pgc_booster_pack			
chronicles	class_chronicles_5	appearance/pcg_robe_statue.apt	@static_item_n:item_pgc_chronicle_master_statuette	item_pgc_chronicle_master_statuette			
chronicles	class_chronicles_6	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_booster_pack	item_pgc_booster_pack			
chronicles	class_chronicles_8	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_booster_pack	item_pgc_booster_pack			
chronicles	class_chronicles_10	appearance/eqp_booster_pack.apt	@static_item_n:item_pgc_booster_pack	item_pgc_booster_pack			
chronicles	class_chronicles_11	appearance/thm_sign_pgc_hanging.apt	@static_item_n:item_special_sign_pgc_consumable	item_special_sign_pgc_consumable			
chronicles	class_chronicles_12	appearance/eqp_force_crystal.apt	@obj_n:profession_force_sensitive_10_n	object/tangible/quest/quest_start/profession_force_sensitive_10.iff			
chronicles	class_chronicles_13	appearance/thm_sign_pgc_standing.apt	@static_item_n:item_special_sign_pgc_consumable_02	item_special_sign_pgc_consumable_02			
chronicles	class_chronicles_14	appearance/thm_prp_holocron_splinters.apt	@obj_n:profession_force_sensitive_20_n	object/tangible/quest/quest_start/profession_force_sensitive_20.iff			
chronicles	class_chronicles_15	appearance/ply_pgc_merchant_tent_s01_r0.apt	@static_item_n:item_pgc_chronicler_tent_deed	item_pgc_chronicler_tent_deed			
chronicles	class_chronicles_16	appearance/atf_sith_s01.apt	@obj_n:profession_force_sensitive_30_n	object/tangible/quest/quest_start/profession_force_sensitive_30.iff			
chronicles	class_chronicles_master	appearance/pgc_robe_s01_m.sat	@static_item_n:item_pgc_chronicle_master_robe	item_pgc_booster_pack,item_pgc_chronicle_master_robe			
force_sensitive_1a	class_forcesensitive_phase1_novice						
force_sensitive_1a	class_forcesensitive_phase1_02						
force_sensitive_1a	class_forcesensitive_phase1_03						
force_sensitive_1a	class_forcesensitive_phase1_04						***Class Specific: Specialty Backpack/Replace as Ring due to Popular Demand
force_sensitive_1a	class_forcesensitive_phase1_05						Profession Quest Item
force_sensitive_1a	class_forcesensitive_phase1_master						
force_sensitive_1a	class_forcesensitive_phase2_novice						***Class Specific: Starting Armor Set
force_sensitive_1a	class_forcesensitive_phase2_02						Profession Quest Item
force_sensitive_1a	class_forcesensitive_phase2_03						***Class Specific: Level 30 weapon
force_sensitive_1a	class_forcesensitive_phase2_04						
force_sensitive_1a	class_forcesensitive_phase2_05						***Class Specific: Ring
force_sensitive_1a	class_forcesensitive_phase2_master						Profession Quest Item
force_sensitive_1a	class_forcesensitive_phase3_novice						
force_sensitive_1a	class_forcesensitive_phase3_02						***Class Specific: Level 50 weapon
force_sensitive_1a	class_forcesensitive_phase3_03						
force_sensitive_1a	class_forcesensitive_phase3_04						
force_sensitive_1a	class_forcesensitive_phase3_05						
force_sensitive_1a	class_forcesensitive_phase3_master						***Class Specific: Neck
force_sensitive_1a	class_forcesensitive_phase4_novice						
force_sensitive_1a	class_forcesensitive_phase4_02						
force_sensitive_1a	class_forcesensitive_phase4_03						***Class Specific: Long Re-use Clicky
force_sensitive_1a	class_forcesensitive_phase4_04						
force_sensitive_1a	class_forcesensitive_phase4_05						
force_sensitive_1a	class_forcesensitive_phase4_master						***Class Specific: Belt
